name,abv,ibu,descript,brewery_id,category_id
Weizengold Hefefein,5.1,0,"Stiegl Weizengold. It has 12o original gravity; the choicest ingredients and a top fermentation process are responsible for the highest possible quality and an unmistakable flavor. It is brewed according to the classic wheat beer recipe: 60 % wheat malt and 40 % barley malt, top fermentation and in compliance with the Purity Law of 1516.  This fine yeast wheat beer specialty is a refreshing, natural and stimulating beer brand.",1202,4
Never Summer Ale,5.94,0,,160,11
Modern Monks Belgian Blonde,0,0,,1264,3
Grand Cru,0,0,,1264,-1
JÃƒÂ¶rger WeiÃƒÅ¸e Hell,0,0,,210,4
OSB Premium Ale,4.5,0,,1272,-1
Morocco Ale,5.5,0,,425,-1
Glacier Ale,0,0,,1047,3
Bent Nail IPA,0,0,,1047,3
Espresso Porter,0,0,,879,-1
Harvest Ale,0,0,,879,3
Stillwater Rye,0,0,,879,-1
Sharptail Pale Ale,0,0,,879,3
Fat Belly Amber,0,0,,879,3
Whitetail Wheat,0,0,,879,8
Sandbagger Gold,0,0,,879,-1
Brunette Nut Brown Ale,0,0,,901,3
Irish Red,0,0,,901,-1
Belgian Wit,0,0,,901,-1
EOS Hefeweizen,0,0,,901,4
India Pale Ale,0,0,,901,3
Winter Ale,6.3,0,,1185,1
Pride & Joy Mild Ale,0,0,,1260,1
Robert the Bruce Scottish Ale,7,0,"A big malty body from chocolate and roasted malts, well balanced with just the right combination of hops. Robust yet smooth, a true malt-lover's delight.",1260,1
Lump of Coal Dark Holiday Stout,8,0,,1056,3
Warm Welcome Nut Browned Ale,6,0,,1056,3
Pendle Witches Brew,5.1,0,,884,3
Carnegie Stark-Porter,5.5,0,,345,2
Harvest Ale 2002,11.5,0,,727,1
Woody Organic IPA,6.2,0,,1075,3
Adriaan,5,0,,620,-1
Leute Bok Bier,7.5,0,,304,7
La Folie Falling Rock,6,0,,905,-1
Oak Aged IPA,6,0,,1315,-1
Tikka Gold,5,0,,304,3
La Divine Double Blond,7.5,0,,179,-1
La Divine Tripel Amber,9,0,,179,-1
Ename Tripel,8.5,0,,292,-1
Triple Dipsea Belgian,9.2,0,,827,-1
Oktoberfest Weizen,5.7,0,,1019,-1
Imperial Hefeweizen,7.5,0,,1029,-1
Triple Exultation Old Ale,9.7,0,,481,1
Organic Gingerbread Ale,6.8,0,,130,-1
Falcon Pale Ale,0,0,,1064,3
Buzzsaw Brown,4.8,0,"By 1915, Bend, Oregon, was alive with the sound of the buzz saw, as two of the country's largest pine sawmills set up shop on the banks of the Deschutes River.  The mills are  gone now, but the smokestacks still stand testament to Bend's humble beginnings. 
Buzzsaw Brown is an easy-drinking beer that is refreshing after a hard dayÃ¢â‚¬â„¢s work. The timber mills in Bend may be closed, but whether your adventure includes a day of scaling rock faces, hitting 18 holes or skiing the slopes in spring, Buzzsaw Brown is the perfect end to a fun-filled day.
Ã¢â‚¬Å“Buzzsaw Brown is one of my favorite beers,Ã¢â‚¬Â says Deschutes Brewery Brewmaster Larry Sidor. Ã¢â‚¬Å“The unique combination of European and American malts makes it a very food friendly beer that pairs well with a wide variety of flavors.Ã¢â‚¬Â",441,3
Eisenbahn South American Pale Ale (S.A.P.A.),0,0,,369,3
Geist Bock,6.1,0,"This is one of our rare lagers brewed in the style of the German Heiliges Geist Bock, or Holy Ghost Bock. The name refers to the lighter nature of the beer as opposed to the darker and heavier Doppel Bock and Mai Bock also brewed during the spring in Germany. There is a rich malt flavor, a firm German style lager head, and a clean lagered finish to this beer.  Available on draft or in 12 oz. bottles.",584,7
Troll Porter,0,0,,623,2
Dark Ale,4.5,0,"A dark brew full of promise. Coopers Dark Ale is a journey in taste, starting fresh and creamy, and finishing with a lingering coffee flavour. 
Conditioned and naturally brewed using the top fermentation method, Coopers 'Dark' is made using roasted and chocolate malts, giving it a rich dark colour and unique flavour. 
Coopers Dark Ale has no additives and no preservatives.",397,1
Cinder Cone Red,5.4,0,"Cinder Cone Red's diverse selection of hops and barley captivates thirsty palates with its toffee-like flavor, intense citrus aroma and defined bitterness.
Located on the northern slope of Mt. Bachelor, the Cinder Cone was also known as \Red Hill\"" due to its reddish color that is revealed as the seasons change",441,3
LTD 02 Lager,6.4,0,,562,7
Saison Vielle Provision,6.5,0,,189,-1
Organic Barley Wine Ale 2005,9.5,0,,130,-1
Old Boardhead 2006,9,0,,562,-1
Blue Dot Double India Pale Ale,7,0,,622,3
Nugget,0,0,,562,3
American Pale Ale,0,0,,1175,3
471 Extra ESB,7.8,0,,236,-1
Odell Red Ale,6.5,0,"The Rocky Mountain Goat is no ordinary goat. Just like Odell Red is no ordinary red. 
We took the American-style red to a whole new level by adding a variety of aggressive American hopsÃ¢â‚¬â€giving this ale a distinctive fresh hop aroma and flavor. 
We think you'll agree this red has some serious kick.",935,3
Long Leg English Fuggles Hop Ale,0,0,,335,-1
Summer Lightning,5,0,,671,-1
Haymaker Extra Pale Ale,0,0,,255,-1
Pale Ale,0,0,,447,3
Silk Lady,4.4,0,,447,3
Danger Ale,5.2,0,,447,3
Irish Style Ale,5.2,0,,447,-1
Yeti Special Export,7,0,,1392,8
Steelie Brown Ale,0,0,,1151,3
Bond Street 19th Anniversary,8.7,0,,441,-1
Trumpeter,0,0,,1151,3
Nitro Porter,0,0,,1264,2
Fourteen,9.46,0,,62,-1
Old Stock Ale 2007,11.7,0,,919,1
Cold Hop,6.5,0,,160,1
Hitachino Nest Espresso Stout,7.5,0,,742,-1
Witte,5,0,,433,-1
Slaapmutske Triple Nightcap,8.1,0,,432,-1
Biere de Mars,7,0,A sustaining beer that is brewed to comfort in the gusty ides of March and welcome in a wealth of warmer weather.,723,1
Kerst Pater Special Christmas Beer,9,0,,300,-1
Zoetzuur Flemish Ale,7,0,,432,-1
WPA (Wheat Pale Ale),0,0,,869,-1
Smoked Hefe,0,0,,869,8
The Unforgiven Amber Ale,5.8,0,,1084,3
Strange Ghost,8,0,,192,-1
Duke IPA,5.1,0,,595,3
Broad Axe Stout,5,0,,595,3
Northern Light Lager,4.4,0,,595,8
Podge Belgian Imperial Stout,10.5,0,,31,3
Okocim Porter,8.3,0,,307,2
1809,5,0,,458,-1
Pannepot,10,0,,433,-1
Samurai,5.1,0,"Looking for something a little different? Brewed with rice and barley malts, Samurai is an easy drinking, unfiltered ale that changes the status quo for unfiltered beers. The addition of rice gives Samurai a slightly fruity, crisp, refreshing and clean taste. This is definitely not your everyday unfiltered beer.",604,-1
Crystal Ale,0,0,,122,-1
Gavroche French Red Ale,8.5,0,,177,-1
Coney Island Lager,0,0,,1138,-1
La BiÃƒÂ¨re des Collines van de Saisis,0,0,,191,-1
Dark Beer / StiftsbrÃƒÂ¤u,0,0,,211,-1
LuciÃƒÂ©rnaga,6.5,0,"An artisan pale ale brewed in the Grand Cru tradition. Enjoy its golden effervescence and gentle hop aroma. Coriander and Grains of Paradise round out the spicy palate, melting o so softly into a silken finish of hoppiness and bliss! Make any season a celebration!",723,5
CuvÃƒÂ©e des Champions 2003-2004,0,0,,202,5
Beer Geek Breakfast,7.5,0,"Breakfast is the most important meal of the day, many say, and if you are a beer geek there is no better way to start the day than with a powerful, complex morning stout. The unique mix of oats and coffee gives this beer large body and power, while the coffee, at the same time, creates a nice balance.",859,3
Flemish Primitive Wild Ale (Spoon Whacker),9,0,,432,-1
Bock,5.5,0,,39,7
Double India Pale Ale,8.6,0,,810,3
Old Bawdy 2006,10,0,,984,-1
Extra Strong Vintage Ale,7.5,0,"If fine wine were beer it would no doubt be Coopers Extra Strong Vintage Ale. This strong ale imparts rich full flavours that are suitable for maturation. Brewed with choice malts and an extended top fermentation, Coopers Extra Strong Vintage Ale will improve with age, becoming more interesting and complex in flavour for up to 18 months. The results are well worth the wait!",397,-1
Certified Organic India Pale Ale,7,0,,481,3
Certified Organic Porter,5.5,0,,481,2
Certified Organic Extra Pale Ale,0,0,,481,-1
Certified Organic Amber Ale,4.8,0,"Eel River Brewing Company, brewers of California's first Certified Organic Ale, proudly brings you our Organic Amber Ale. Unique in flavor and purity, this medium bodied beer has a hoppy bouquet and a distinctive rich taste with a caramel-like sweetness that is balanced with a liberal dose of certified organic Pacific Gems and Hallertau hops, imported from New Zealand. Pure taste, pure ingredients, pure good.",481,3
Farm House Ale,6.7,0,,706,-1
Beer Town Brown,0,0,,255,3
Tanners Jack,4.4,0,,890,-1
Mephistopheles Stout,16.03,0,,62,3
NÃƒÂ¸gne ÃƒËœ Brown Ale,4.5,0,"A dark brown English ale, in which classic English malts meet the spicy hoppiness of the new world.  Recommended serving temperature 8Ã‚Â°C/45Ã‚Â°F. Goes very well with Ã¢â‚¬Ëœpub grub.Ã¢â‚¬â„¢",923,3
Vertical Epic 07.07.07,8.4,0,,1204,-1
Ringwood Brewery Old Thumper Extra Special Ale,0,0,,1136,-1
Export Ale,5.1,0,,1136,3
Bourbon Barrel Porter,9.1,0,,950,-1
Old Guardian Barley Wine 2007,11.26,0,,1204,-1
White Christmas,6.5,0,,892,-1
Winter,10.5,0,,175,-1
Undercover Investigation Shut-Down Ale,9.28,0,,765,3
Harvest Ale 2006,11.6,0,,727,1
Classic Gueuze,0,0,,202,5
Gueuze-Lambic,6.5,0,,1315,5
Schwarzbier / Dunkel,4.9,0,,484,7
Sawtooth Ale,0,0,,779,3
Pole Star Pilsner,0,0,,779,-1
90 Shilling,5.3,0,"We introduced 90 Shilling, our flagship beer, at our opening party in 1989. For a while, we'd been wondering - what would happen if we lightened up the traditional Scottish ale? The result is an irresistibly smooth and delicious medium-bodied amber ale. The name 90 Shilling comes from the Scottish method of taxing beer. Only the highest quality beers were taxed 90 Shillings. A shilling was a British coin used from 1549 to 1982. We think you'll find this original ale brilliantly refreshing, and worth every shilling.",935,1
Sunshine Wheat,4.8,0,"SUNSHINE WHEAT is a great beer for trouncing thirst.  Yet, it has a depth of character that inspires a quiet momentÃ¢â‚¬â„¢s reflection. Sunshine Wheat swirls in the mouth with ripples of coriander and orange peel tartness, settling nicely into a tranquil sea of apple and honey tones.  A filtered wheat beer, Sunshine offers a crisp, refreshing alternative to heavier-bodied heffe-weizens.",905,11
Grand Cru,9.5,0,,174,-1
Der Weisse Bock,8.5,0,,70,4
Stouterik / The Brussels Stout,0,0,,176,-1
Black Jack Porter,0,0,,779,2
Lunar Ale,5.1,0,"Our first new year-round brand launch since 1996, Lunar Ale is in a category all its own. Brewed using a unique aromatic yeast, this refreshing variety is best described as a cloudy brown ale with a complex, malty aroma and flavor, and a crisp, dry finish.",161,3
Denver Pale Ale / DPA,5.4,0,"Historically Great DivideÃ¢â‚¬â„¢s flagship beer, DPAÃ¢â‚¬â„¢s record speaks for itself. By continually garnering national and international recognition, DPA has risen to become one of the most award-winning English-style pale ales in the world.
Sporting a brilliant copper hue and an assertive floral hop aroma, DPA is known for its smooth, malty middle, which is expertly complemented with hearty and complex hop flavor. DPAÃ¢â‚¬â„¢s extraordinary hop finish is marked by crisp yet moderate hop bitterness. Its well-balanced profile makes DPA the perfect beer to accompany a hearty mountain picnic or a night on the town. For those who seek beers characterized by excitement, flavor and distinction, Denver Pale Ale is the natural choice.",604,3
Grotten Flemish Ale,7.7,0,,296,5
Grand Cru,9,0,,1316,-1
Summer Common,0,0,,501,-1
Golden Ale,4.7,0,,1185,-1
Ambree,9,0,,174,-1
Pater 6,6.7,0,"This name became a reference. This beer is mostly pointed out with its product name: Ã¢â‚¬Å“a PaterkeÃ¢â‚¬Â. 
This Ã¢â‚¬Å“PaterkeÃ¢â‚¬Â is a chestnut coloured dark beer with a high fermentation (6.7 alcohol content) and a full taste.",296,5
Blanche de Namur,4.5,0,,187,-1
Skinny Dip,4.2,0,"Ever tried a Skinny Dip? You wouldn't be alone. Featured by both Men's Journal and the Today Show as a favorite summer brew, this full-bodied, highly drinkable beer makes a splash every summer in our Seasonal line-up. Cascade hops frolic with a hint of lime leaf, giving the beer complexity that's surprisingly refreshing.",905,3
Blanche Double,6,0,,174,-1
Summer Bright Ale,0,0,,236,-1
Mothership Wit,4.8,0,"Our first venture into organically-produced beer, Mothership Wit Organic Wheat Beer elevates the zesty Wit or White beers of Belgium. Our far-flung Beer Rangers affectionately refer to our Fort Collins brewery as the Mothership, a name that conjures images of earth shot from space and the interconnectivity of it all. Mothership Wit is brewed with wheat and barley malt, as well as coriander and orange peel spicing resulting in a balance of citrus and sour flavors held in suspension by a bright burst of carbonation.",905,-1
Lia Fail Stone of Destiny Ale,4.7,0,,696,-1
Premium XB Bluebird Bitter,4.4,0,,395,-1
IPA,5.5,0,,1056,3
Houblon,9,0,,167,-1
Double Pilsner,8.1,0,,935,8
Creamy Dark,4.9,0,,708,8
Premium Pils Edelherb,4.9,0,,757,-1
StÃƒÂ¼venbrÃƒÂ¤u Maibock,0,0,,590,7
Jack of Spades Schwarzbier,3.9,0,,590,7
Shiner Hefeweizen,5.4,0,,1179,4
Sapporo Premium Beer,0,0,,1154,8
Dark German Lager,0,0,,501,-1
Spring Heat Spiced Wheat,5.2,0,,44,-1
Gose,4.6,0,,567,-1
Pils,5,0,,1176,-1
New,4.6,0,,1274,8
Eisenbahn Defumada,0,0,,369,-1
Eisenbahn Escura,0,0,,369,7
Eisenbahn Dourada,0,0,,369,-1
Fallen Angel Sweet Stout,0,0,,501,3
Hot Shot ESB,5,0,"HotShot ESB is an easy-drinking and remarkably smooth Extra Special Bitter, brewed in the classic-English style. More assertively hopped than ordinary bitters, light copper-colored HotShot showcases clean hop flavors, balanced by its slightly fruity nose and light-caramel malt character.
While HotShot is one of Great DivideÃ¢â‚¬â„¢s easiest-drinking and lower alcohol beers, its complex flavor profile makes it the perfect session beer for craft beer lovers.",604,1
Porter,8,0,,312,2
NÃƒÂ¸gne ÃƒËœ Imperial Stout,9,0,"We think the russian tsar would have liked his stout this way. A dark, rich ale in which a generous sweetness with roasted malt bitterness.  Serving temp.10Ã‚Â°C/50Ã‚Â°F. Great with vanilla ice cream or dark chocolate.",923,3
NÃƒÂ¸gne ÃƒËœ Porter,7,0,"In this quite dark ale, dark malts provide flavors of coffee and dried fruit. Recommended serving temperature 10Ã‚Â°C/50Ã‚Â°F.  Try with dark chocolate, cheese, or red meat dishes.",923,2
NÃƒÂ¸gne ÃƒËœ Pale Ale,6,0,A refreshing light and hoppy ale. Probably our best allrounder.  Recommended serving temperature 8Ã‚Â°C/45Ã‚Â°F.  Ideal with barbequed or smoked meat dishes.,923,3
Eccentric Belgian Wheat,0,0,,501,-1
Oatmeal Stout,0,0,,1265,3
Amber Light,0,0,,1265,8
New World Wheat,0,0,,1265,8
Maibock,0,0,,1265,7
Ironwood Dark,0,0,,1265,3
Cascade Amber,0,0,,1265,3
Alpine Gold,0,0,,1265,-1
Illuminator Doppelbock,6.8,0,,624,7
Old Princeton Landing IPA,6.1,0,,624,3
Paddle Out Stout,5.2,0,,624,3
Pillar Point Pale Ale,4.6,0,,624,3
Sandy Beach Blonde Hefeweizen,4.5,0,,624,4
Mavericks Amber Ale,4.8,0,,624,3
Harbor Light Ale,4.8,0,,624,-1
Leroy Barleywine,0,0,,1126,-1
Oatmeal Stout,6,0,,1126,3
Amber,5,0,,1126,3
Blur IPA,0,0,,1126,3
Pelican Pale,5,0,,1126,3
Brew Ribbon,0,0,,1126,8
Casey Jones Imperial IPA,7.25,0,,701,3
Fairfax Coffee Porter,5.5,0,,701,-1
Epiphany Ale,5.5,0,,701,3
IPA,6,0,,701,3
Chazz Cat Rye,4.5,0,,701,8
Shining Star Pale Ale,5,0,,701,3
Honey Bunny Blonde Ale,5.8,0,,701,8
Kent Lake Kolsch,4,0,,701,-1
Old Blarney Barleywine,10,0,,892,-1
Irish Dry Stout,4.8,0,,892,3
Kilt Lifter Scottish Ale,8,0,,892,1
India Pale Ale,6.5,0,,892,3
Blonde Bock,7,0,,588,7
Schwarzbier,4.3,0,,588,7
Czech Lager,0,0,,588,-1
Yule Tide,10,0,"The latest addition to Baltimore's own Clipper City Brewing Company - Mutiny Fleet is their holiday brew Yule Tide, a Belgian style triple ale, which like the rest of the Mutiny Fleet is distributed in 22 ounce bombers.",385,5
Pilsner,5.3,0,,588,-1
Warka Strong,7,0,European Strong Lager,308,8
Porter,0,0,,1074,2
ESB,0,0,,1074,-1
Pale Ale,0,0,,1074,3
Kristall Weizen,0,0,,1074,8
ESB (Extra Special Blizzard),6,0,,1163,-1
Paint the Town Red,0,0,,677,3
Golden Ale,0,0,,677,-1
Train Wreck IPA,0,0,,1004,3
Zone 7 Porter,3.8,0,,1004,2
Pleasanton Pale,5.3,0,,1004,3
Island Wheat,0,0,,1004,8
Hefeweizen,5.6,0,,707,4
Red Ale,0,0,,707,-1
Penalty Shot Porter,5.8,0,,707,2
India Pale Ale,7.5,0,,707,3
Grid Iron Amber Ale,5.6,0,,707,3
Boys of Summer Wheat,3.5,0,,707,8
Pale Ale,0,0,,523,3
Red Ale,0,0,,523,3
Hefeweizen,0,0,,523,8
Bitter,0,0,,523,-1
Double IPA,0,0,,523,3
Tatonka Stout,8.5,0,,133,3
P.M. Porter,6.4,0,,133,2
Jeremiah Red,7.3,0,,133,2
Piranha Pale Ale,5.7,0,,133,3
Harvest Hefeweizen,4.9,0,,133,4
Brewhouse Blonde,4.7,0,,133,-1
Nutty Brewnette,5.9,0,,133,3
India Pale Ale (IPA),0,0,,515,3
Belgian Tripel,0,0,,515,-1
Belgian Abbey,0,0,,515,-1
Stout,0,0,,515,3
Pale Ale,0,0,,515,3
Best Bitter,0,0,,515,-1
Hefe Weizen,0,0,,515,4
Pilsner,0,0,,515,-1
KÃƒÂ¶lsch,0,0,,515,-1
Harvest Ale 2005 (Whisky),11.5,0,,727,-1
Harvest Ale 2005 (Calvados),11.5,0,,727,-1
Harvest Ale 2005 (Sherry),11.5,0,,727,-1
Old Crustacean Barleywine 2006,11.5,0,,1072,-1
Avalanche Amber,5.4,0,,236,3
Hefe Proper Ale,0,0,,236,8
Levity Amber Ale,5.1,0,"Levity is our lighter take on the amber ale. Munich and honey malts give it a full-bodied flavor and a happy-go-lucky personality. Then we let the finishing hops shine, for a beer that's crisp instead of bitter, as many ambers are. Levity was named by our brewers partly for its light color - and partly for the way it just refuses to take itself too seriously. Hey, we could all use a little levity once in a while.",935,3
Easy Street Wheat,4.6,0,"Light and refreshing, Easy Street Wheat is an unfiltered American-style wheat beer. Leaving in the yeast gives the beer a nice, smooth finish and a slightly citrusy flavor. Easy Street Wheat gets its name by brewers \taking it easy\"" and not filtering the beer. However",935,11
Boulevard Pale Ale,5.4,0,"Boulevard Pale Ale is a smooth, fruity, well-balanced beer with year-round appeal. A variety of caramel malts impart a rich flavor and amber color, while liberal use of whole hops adds zest and aroma. Pale Ale is the first beer we brewed, and continues to be a perennial favorite.",161,3
Bully! Porter,5.4,0,"The intense flavors of dark-roasted malt in BoulevardÃ¢â‚¬â„¢s rendition of the classic English porter are perfectly balanced by a generous and complex hop character. Bully! PorterÃ¢â‚¬â„¢s robust nature makes it the ideal companion to a variety of foods, from seafood to chocolate.",161,2
Bovine Belgian Winter Ale,0,0,,795,-1
XX Black Angus Stout,0,0,,795,3
Blarney Stone Stout,0,0,,795,3
Bison Brown Ale,0,0,,795,3
Prairie Pale,0,0,,795,3
Wildcat Wheat,0,0,,795,8
Boulevard Dry Stout,4.9,0,"Velvety black and perfectly opaque, our bottled Dry Stout is the somewhat livelier companion to our popular draught version of this enduring style. This surprisingly smooth, drinkable beer is a delightful harmony of smoky roasted flavors and tangy, coffee-like notes.",161,3
Planet Porter / Boulder Porter,5.5,0,,160,2
Amber,8,0,,195,-1
Blanche des Moines,4.5,0,,187,-1
Triple Moine,7.2,0,,187,-1
Arabier,9,0,"An arabier is a pure malt beer 8Ã‚Â°vol/alc brewed with flower Nugget-hops from Poperinge. It has the special dry-hopping taste and aroma, so appreciated by beer lovers all over the world. It is one of the two main beers from De Dolle Brouwers throughout the year. Aging time is limited due to the fact that hop bitterness is declining with the time. Store arabier cool and dark and serve cool at 10Ã‚Â°C. Cheers!",272,5
Bos Keun,8.9,0,,272,5
Grand Cru,10.5,0,,175,-1
Oerbier,7.5,0,,272,-1
Dulle Teve / Mad Bitch,10,0,,272,-1
Vuuve,0,0,,278,-1
Gouden Carolus Tripel,9,0,,284,-1
Gouden Carolus Ambrio 1471,8,0,,284,-1
Pauwel Kwak,8,0,"LOOK:
Kwak is recognisable by its deep bright amber colour and a dense, creamy coloured head. The pale wood of the glass holder makes a pleasant contrast with the beer.
SMELL:
You will smell a mellow, fruity and malty aroma with a slightly spicy character (coriander, hops). Additional earthy and very subtle aromas of banana and perhaps also a whiff of pineapple or mango in the background.
TASTE:
Discover a very mellow, fruity attack, a nougat-like solidity, and a slightly spicy character with hints of liquorice passing into a warm finish that reminds you of caramelised banana. The bitterness always remains in the background but in the end emerges delicately.",269,-1
Delirium NoÃƒÂ«l,10,0,,285,5
Rochefort 10,11.3,0,"Reddish-brown colour, with a very compact head and an aroma of figs, feels like honey in the mouth. The alcohol profile is a major component in the flavour of this rich ale. It is very similar to 6 and 8, but has much more of everything. Some may find the high alcohol content to be disagreeable.",7,5
